company_name,contact_name,city,state,phone,email,website,facebook_or_social,services_notes,source,directory_url,directory_status
Agri Spray Drone Service (Twin Falls),Braxton Christensen,Twin Falls,ID,,,thespraydrone.com,,DJI Agras T50 drone spraying + cover crop seeding; up to 50 ac/hr Magic Valley,KMVT,https://agdronedirectory.com/operators/agri-spray-drone-services-llc,existing
Alair Ag Drones,Alex McRae,Caldwell,ID,,,alairdrones.com,,EA Vision spray drone; crop spraying + dry seed/fertilizer/cover crops,alairdrones.com,https://agdronedirectory.com/operators/alair-ag-drones,existing
Altitude Agri Services,Kurt,Richland,WA,,,altitudeagriservices.com,,Drone spray liquid/dry interseed cover crops beneficial insects; orchards/berries/vineyards; WA/OR,Google Maps WA,https://agdronedirectory.com/operators/altitude-agri-services,existing
Colorado Drone Works LLC,Tyler Jole/Trenton Tornes,Silt,CO,,,coloradodw.com,,Agricultural drone spraying pesticide/herbicide + seeding with DJI Agras T50,Google,https://agdronedirectory.com/operators/colorado-drone-works-llc,existing
Fly The Farm Drone Services,Christian/Jay Franklin,Canandaigua,NY,,,flythefarmdrones.com,,Precision agricultural drone spraying western NY; Part 107 + Part 137,Web,https://agdronedirectory.com/operators/fly-the-farm,existing
Flying Acres LLC,Bryan & Kaitlynn Hammis,Central Michigan,MI,,,flyingacresllc.com,,Full-service drone application: spraying spreading interseeding; orchards vineyards hops food plots,Company site,https://agdronedirectory.com/operators/flying-acres-llc,existing
Ground Level Aerial Ag,Thomas,Lubbock,TX,,,groundlevelaerialag.com,,Precision drone spraying custom spreading aerial imaging field mapping,Google,https://agdronedirectory.com/operators/ground-level-aerial-ag,new
Harris Precision Solutions,John & Louie Harris,Auburn,AL,,,harrisprecisionsolutions.com,,FAA Part 137; drone herbicide spraying forestry/pasture/invasives; dry fertilizer & seed spreading,Google,https://agdronedirectory.com/operators/harris-precision-solutions,existing
Kuhn's Aerial Applications LLC,Nicholas Kuhn,West Union,WV,,,kaa-llc.com,,Spray drone services ~90% pasture/brush; demo w/ WVU Doddridge Co Extension,WBOY/WVU Extension,https://agdronedirectory.com/operators/kuhns-aerial-applications,existing
Martens Ag Services LLC,Randy Martens,Nebraska City,NE,,,martensagservices.com,,Aerial spraying & spreading; DJI Agras T40; fungicide/insecticide/herbicide/cover crop,Web,https://agdronedirectory.com/operators/martens-ag-services,existing
Pratum Co-op (Ag Services drone program),Chris Kaiser; Lane Marsh,Salem,OR,,,pratumcoop.com,,Co-op drone division; XAG P150 (18.5-gal); treated ~19000 acres OR 2023-24; blueberries hazelnuts grass seed,West Coast Nut,https://agdronedirectory.com/operators/pratum-co-op-ag-services-drone-program,new
South Alabama Drone Services,,,AL,,,southalabamadroneservices.com,facebook.com/southalabamadroneservices,DJI Agras T100 spray fleet; founded 2023; spraying sales repairs,Google/Facebook,https://agdronedirectory.com/operators/south-alabama-drone-services,existing
Texas Agridrone Services LLC,Curtis Schramm,Gonzales,TX,,,txagridronesvs.com,,Herbicide/brush spraying (mesquite huisache prickly pear); XAG P150; FAA Part 137 + 44807,Google/openPR,https://agdronedirectory.com/operators/texas-agridrone-services,existing
The Spray Drone (Agri Spray Drone Services),Braxton Christensen,Twin Falls,ID,,,thespraydrone.com,,Veteran-owned ag drone spraying/cover crop seeding/fertilizer; S Idaho; USDOT 4398523,Company site/KMVT,https://agdronedirectory.com/operators/agri-spray-drone-services-llc,existing
UAV Ag Solutions,Nicholas & Brandon Steed,Oakdale,CA,,,uav-agsolutions.com,,Drone aerial application of pesticides/fertilizers; walnuts almonds alfalfa field corn,Imperial Valley Press,https://agdronedirectory.com/operators/uav-ag-solutions,new
USAR Drone Team - Agra Spray Team,Michael Parziale,Manasquan,NJ,,,usardroneteam.org/agra-spray-team,,Veteran nonprofit agricultural drone spray (liquid + granular); DJI Agras T10/T30/T40,Google,https://agdronedirectory.com/operators/usar-drone-team,existing
Venture Ag Drones,Scott Houdek & Angel Zarda,Antigo,WI,,,ventureagdrones.com,,DJI Agras T100 + two T50s; fungicide/herbicide/insecticide foliar fertilizer cover crop seeding; potatoes corn,Company site,https://agdronedirectory.com/operators/venture-ag-drones,existing
Vortex Ag LLC,Alex Pohlen,Minneota,MN,,,vortexagllc.com,,Drone spraying livestock yards/farm sites/fence lines + ditch spraying; MN & SD; founded 2024,Google Maps MN,https://agdronedirectory.com/operators/vortex-ag-llc,new
Active Intelligence (Maine Drone & LiDAR),Tim & Tom,,ME,,,activeintelligence.ai,,NE drone ag service spraying/fertilizing/seeding (DJI Agras T40 up to 50 ac/hr); browntail moth lime/sulfur,Google,https://agdronedirectory.com/operators/active-intelligence,existing
AgriFlyer,Amber Wilkinson,,GA,,,agriflyer.com,,FAA Part 137 + GA Pesticide Contractor; drone spraying cotton peanuts corn soybeans forestry; GA+MS,Google/site,https://agdronedirectory.com/operators/agriflyer,new
Carolina Agri Drones LLC,Jacob Giddens,,NC,,,carolinaagridrones.com,,Aerial application & spray drone support; NC SC VA,Google Maps NC | Web,https://agdronedirectory.com/operators/carolina-agri-drones,existing
Panhandle Agri-Tech,Tyler,,TX,,,panhandleagritech.com,,Ag spray drone service & sales (EAVision J70/J150) in TX Panhandle,Subagent,https://agdronedirectory.com/operators/panhandle-agri-tech,new
Top Crop AgriDrones,Jeffrey Kitten & Kyle Vosen,,TX,,,topcropagridrones.com,,Aerial drone spray West Texas; DJI Agras T40; Mavic 3M mapping,Google,https://agdronedirectory.com/operators/top-crop-agridrones,existing
Vortex Advantage AG LLC,Jnani Matson,,TX,,,vortexag.com,,Aerial drone spray application (fungicide herbicide insecticide fertilizer granular cover crop); EA Vision J150,Google,https://agdronedirectory.com/operators/vortex-advantage-ag,existing
19th UAS Precision,,Sandusky,OH,,,19thuasprecision.com,,Custom drone spraying interseeding mapping; DJI Agras/Enterprise dealer,Google Maps OH,https://agdronedirectory.com/operators/19th-uas-precision-llc,existing
Aerial Mission LLC,,Michigan,MI,,,aerialmissionllc.com,,Drone spray application (agriculture commercial residential) + aerial photography/3D modeling,Company site,https://agdronedirectory.com/operators/aerial-mission-llc,new
Ag Above The Line,,Holdrege area,NE,,,agabovetheline.com,,Authorized Agri Spray Drones dealer; DJI Agras T40 custom drone spray + cover crop seeding,NE PSC business plan,https://agdronedirectory.com/operators/ag-above-the-line,new
AG Aerial Solutions LLC,,Rock County,WI,,,agaerialsolutions.com,,Drone spraying of pesticides fertilizers and seeds; full-field or targeted,Subagent,https://agdronedirectory.com/operators/ag-aerial-solutions-llc,new
AG Drones NJ,,Burlington County,NJ,,,agdronesnj.com,,FAA Part 137 drone crop spraying 3D mapping NDVI cover crop seeding; blueberry/tomato farms,Google,https://agdronedirectory.com/operators/ag-drones-nj,new
Agricultural Spraying Solutions Hawaii,,Maui,HI,,,agsolutionshawaii.com,,Professional drone spraying services for Maui farmers; DJI Agras T50 & T40,Company site,https://agdronedirectory.com/operators/agricultural-spraying-solutions-hawaii,existing
Aim High Drone Services LLC,,Lagrange,IN,,,aimhighds.com,,Drone liquid applications IN MI OH; $12/acre; multispectral imagery; variable rate,Web | aimhighds.com,https://agdronedirectory.com/operators/aim-high-drone-services-llc,existing
Air Crop,,Wisconsin,WI,,,aircropwi.com,,Drone fungicide & cover crop application; grain dairy potato cranberry,Company site,https://agdronedirectory.com/operators/air-crop,new
Aloha Aina Drone Company,,Oahu,HI,,,alohaainadrones.com,,FAA + Hawaii Dept of Ag licensed commercial drone aerial application; ~5 gal/50 lb payload 100+ ac/day,Company site,https://agdronedirectory.com/operators/aloha-aina-drones,existing
Altitude Drone Innovations,,Hernando,MS,,,adidroneservices.com,,Drone agricultural spraying with on-site mixing trailer; Delta row crops,Google,https://agdronedirectory.com/operators/altitude-drone-innovations-ms,existing
Aquiline Drones,,Hartford,CT,,,aquilinedrones.com,,Agricultural drone spraying services; AD command/control platform,ensun directory,https://agdronedirectory.com/operators/aquiline-drones,new
Bighorn Flying Company,,Sheridan,WY,,,bighornflying.com,,Aerial application (manned + unmanned/drone); WY and MT ranchers/farmers,Google,https://agdronedirectory.com/operators/bighorn-flying-company,new
Cowboy Country Drone Service LLC,,Northern Wyoming,WY,,,cowboycountrydrone.com,,Drone weed/pest control on ranch pasture; XAG P100 Pro; herbicide pesticide cover crop seeding,Google,https://agdronedirectory.com/operators/cowboy-country-drone-service-llc,existing
CropGuard Aero Drones,,Overland Park,KS,,,cropguarddrones.com,,Drone crop spraying/dusting surveying; serves KS & MO,Google Maps KS,https://agdronedirectory.com/operators/cropguard-aero-drones,existing
Drone Co. LLC,,Jonesboro,AR,,,dronecollc.net,,Drone vegetation mgmt and fungicide agricultural spraying for NE Arkansas,Google,https://agdronedirectory.com/operators/drone-co-llc,existing
Farmbotics Air,,Southwest Michigan,MI,,,farmboticsair.com,,Drone crop spraying systems & services + pest/crop/thermal mapping; MDARD PABL #110080,Company site,https://agdronedirectory.com/operators/farmbotics-air,existing
Final Drones,,Bethlehem,PA,,,finaldrones.com,,Drone aerial spraying pesticides/herbicides/fertilizers; farms orchards turfgrass golf; Lehigh Valley,Google,https://agdronedirectory.com/operators/final-drones,new
Flit Drone Services,,Dedham,ME,,,flitdroneservices.com,,Drone browntail moth pesticide application + nest removal,Google,https://agdronedirectory.com/operators/flit-drone-services,existing
Glass Tree Care & Spray Service,,Eugene,OR,,,glasstreecare.com,,Custom aerial drone pesticide application; filbert/fruit/seed orchards berry vineyards hop fields forestry,Company site,https://agdronedirectory.com/operators/glass-tree-care-and-spray-service,existing
Guardian Drone Solutions LLC,,Western NY,NY,,,guardiandronesolutions.com,,Veteran-owned agricultural crop spraying; precision spray for corn/soybeans/orchards/specialty,Google,https://agdronedirectory.com/operators/guardian-drone-solutions-llc,new
Harvest Drone,,Menahga,MN,,,goharvestdrone.com,,Drone aerial application bio-product; frost seeding alfalfa/clover/cover crops; Sound Ag dealer,Company site,https://agdronedirectory.com/operators/harvest-drone,existing
Hetrick Ag Solutions,,East Central Illinois,IL,,,hetrickag.com,,Drone fungicide spraying serving East Central IL & Western IN,Company site,https://agdronedirectory.com/operators/hetrick-ag-solutions,new
Higher Ground Aerial Land and Wildlife,,Dallas,TX,,,highergroundlm.com,,FAA-licensed spray drone vegetation control TX & OK; mesquite/prickly pear aquatic ROW,Google,https://agdronedirectory.com/operators/higher-ground-aerial-land-and-wildlife,new
Hinterland Drones,,Auburn,AL,,,hinterlanddrones.com,,Crop-spraying drones pesticide/herbicide/fertilizer soil sampling aerial mapping,Google,https://agdronedirectory.com/operators/hinterland-drones,existing
Ignition Land Services,,Lubbock,TX,,,ignitionlandservices.com,,Drone herbicide application custom fertilizer precision seeding; XAG drones,Google,https://agdronedirectory.com/operators/ignition-land-services,existing
Inland Empire Drone Services,,Medical Lake,WA,,,iedrones.us,,Drone aerial spraying/spreading seed/fertilizer/cover crops; orchards/row crops/vineyards,Google Maps WA,https://agdronedirectory.com/operators/inland-empire-drone-services,existing
Kingdom Crop Spraying & Services,,Frisco,TX,,,kingdomcropspraying.com,,Drone crop/pasture spraying; DJI Agras T50; coaching/sales,Google,https://agdronedirectory.com/operators/kingdom-crop-spraying,existing
LAAR LLC,,Champaign,IL,,,laarllc.com,,DJI Agras T50 drone spraying herbicide/fungicide/insecticide; Part 137/44807; 75-mi radius,Google Maps IL | Web,https://agdronedirectory.com/operators/laar-llc,existing
Michigan Agricultural Commodities (MAC),,multiple MI locations,MI,,,michag.com,,Ag retailer/cooperative with licensed drone services division; U-PASS state rep,Company site,https://agdronedirectory.com/operators/michigan-agricultural-commodities-mac,new
Midwest Aerial Applicators,,Indianapolis,IN,,,midwestaerialapplicators.com,,DJI Agras T-50; spray/seeding/mapping; capable of 700-1000 acres/day,midwestaerialapplicators.com,https://agdronedirectory.com/operators/midwest-aerial-applicators,existing
Midwest Drones LLC,,Ohio,OH,,,midwestdrones.com,,Precision aerial application for tight spray windows + crop data/mapping; veteran-owned,Company site,https://agdronedirectory.com/operators/midwest-drones-llc,existing
Mo Agri Drone Services LLC,,Kansas City area,MO,,,moagridrone.com,,Drone crop spraying + multispectral crop analysis insurance claims,Google Maps MO,https://agdronedirectory.com/operators/mo-agri-drone-services,existing
NW Missouri Precision Spraying,,Winston,MO,,,nwmissouriprecisionspraying.com,,Pest control/seed spreading/fertilizer application via ag drones,Google Maps MO,https://agdronedirectory.com/operators/nw-missouri-precision-spraying,new
Precision Aerial Application LLC,,Harrisburg,OR,,,paanw.com,,Drone spraying & spreading; serves all of Oregon,Company site,https://agdronedirectory.com/operators/precision-aerial-application,existing
Precision Drone Services,,Thumb area,MI,,,precisiondronellc.net,,4th-gen farm family; DJI Agras T40/T50; precision spraying fungicide/herbicide/fertilizer; orchards & row crops; statewide MI,44807 petition FAA-2026-2385 | Company site,https://agdronedirectory.com/operators/precision-drone-llc,existing
Precision Spray Co,,Phoenix,AZ,,,precisionspray.co,,FAA Part 137 drone spray services for cotton alfalfa citrus melons row crops + solar/mining/golf; Talos 60X + DJI Agras T100,Google,https://agdronedirectory.com/operators/precision-spray-co,new
Pro Ag Solutions LLC,,Bismarck,ND,,,proagsolutionsllc.com,,Certified T-30 drone custom spraying & seeding; Rantizo contractor ND/SD/MN,Google Maps ND | Web,https://agdronedirectory.com/operators/pro-ag-solutions,existing
Pyro Ag Services LLC,,Philip,SD,,,pyroagllc.com,,Custom drone + sprayer application; Gteex Revolution drone dealer; western SD,pyroagllc.com,https://agdronedirectory.com/operators/pyro-ag-services-llc,new
Ranch & Row Aerial Ag LLC,,Jacksonville,FL,,,ranchandrowag.com,,FAA-compliant drone spraying & spreading; crops pastures timber; NE FL,Subagent,https://agdronedirectory.com/operators/ranch-row-aerial-ag-llc,new
Sheridan County Weed & Pest District,,Sheridan,WY,,,scweeds.com,,Aerial/drone treatment for invasive grasses; partners with Johnson & Campbell counties,Sheridan County WY weed list,https://agdronedirectory.com/operators/sheridan-county-weed-pest-district,new
Sky-Spray,,Cullman,AL,,,sky-spray.com,,Agriculture drone spraying service N Alabama; PO Box 2607 Cullman AL 35057,Google/DroneXL,https://agdronedirectory.com/operators/sky-spray-llc,existing
Skybusters Drone Services,,Decatur,IL,,,agriculturedronespraying.com,,Precision spraying/seeding/cover crop; insecticide/fungicide; central IL,Company site,https://agdronedirectory.com/operators/skybusters-drone-services,existing
Specialty Drone Solutions,,San Luis Obispo,CA,,,specialtydronesolutions.com,,FAA-certified drone pesticide spraying cover crop seeding spot treatment; vineyards/almond/citrus; SoCal,Google Maps CA | Web,https://agdronedirectory.com/operators/specialty-drone-solutions,existing
Spotters Aerial Ag,,Killdeer,ND,,,spottersaa.com,,Drone spray/seed all crops pastures orchards; dry spreading; $10-18/ac,Google Maps ND,https://agdronedirectory.com/operators/spotters-aerial-ag,existing
TJ Aerosense LLC,,Huron,SD,,,tjaerosense.com,,Certified DJI Agras dealer and spray drone solutions (Talos T60X orchard T100),tjaerosense.com,https://agdronedirectory.com/operators/tj-aerosense,existing
Top Gun Protection Services,,Wood County,WI,,,topgunprotectionservices.com,,Ag aerial crop spraying + spongy moth + cover crop & granular fertilizer,Company site,https://agdronedirectory.com/operators/top-gun-protection-services,existing
Triple F Flying,,Central PA/W NY,PA,,,triplefflying.com,,Aerial application since 1999 (manned + drone); crop spray fungicide insecticide dry fertilizer cover crop,Google,https://agdronedirectory.com/operators/triple-f-flying,new
Warren County Mosquito Control Commission,,Oxford,NJ,,,warrencountymosquito.com,,Public-agency UAS targeted larvicide application + breeding-ground mapping,Google,https://agdronedirectory.com/operators/warren-county-mosquito,existing
WI Ag Drone Services,,Wisconsin,WI,,,wiagdrone.com,,Crop spraying service: pest control weed management nutrient application,Company site,https://agdronedirectory.com/operators/wi-ag-drone-services,new
Wolverine Drone Services,,St. Clair/Sanilac County (Thumb),MI,,,wolverinedroneservices.com,,Drone spraying for ag/commercial/residential; DJI Agras T40 & T20P,Company site,https://agdronedirectory.com/operators/wolverine-drone-services-llc,existing
AeroAg Drone Services LLC,,,SD,,,aeroagdrone.com,,Precision ag application/crop health analysis/mapping/surveying; SD,Company site | Web,https://agdronedirectory.com/operators/aeroag-drone-services,existing
AeroCrop Ag Solutions,,,IA,,,aerocropag.com,,Drone pesticide/fertilizer application in Southeast Iowa; custom trailers,aerocropag.com,https://agdronedirectory.com/operators/aerocrop-ag-solutions,existing
Aeroseeder LLC,,,IA,,,aeroseeder.com,,Ag drone spraying (liquid) & spreading granular/cover crop; U30L-6 & U60,Google Maps IA,https://agdronedirectory.com/operators/aeroseeder-llc,new
AeroTract,,,OR,,,aerotractone.com,,Drone forestry pre-plant/release spraying + ag pesticide/herbicide/dry applications,Google Maps OR,https://agdronedirectory.com/operators/aerotract-llc,existing
AgFly,,,IL,,,agfly.co,,Ag drone spraying/seeding/aerial broadcasting; row crops/foodplots/marshland,Company site | Web,https://agdronedirectory.com/operators/agfly,existing
AgriFocus (AF Drone Solutions),,,IA,,,afdronesolutions.com,,Iowa-certified applicator + Part 107; DJI Agras T-series spraying; SE Iowa,Google Maps IA,https://agdronedirectory.com/operators/agrifocus-af-drone-solutions,new
Agronix,,,IA,,,agronix.us,,Custom drone spraying; AcreConnect/Rantizo mapping; ISU & Bayer field-tested,Google Maps IA | Web,https://agdronedirectory.com/operators/agronix,existing
Catahoula Custom Spraying LLC,,,TX,,,catahoulacustomspraying.com,,Aerial application & land management drone spraying in Texas,Subagent,https://agdronedirectory.com/operators/catahoula-custom-spraying-llc,new
Chesapeake Drone Ag,,,MD,,,chesapeakedroneag.com,,Drone chemical application (fungicide/insecticide/herbicide) seeding field mapping Mid-Atlantic,Google,https://agdronedirectory.com/operators/chesapeake-drone-ag,existing
Conservation Drone Services LLC,,,SC,,,conservationdroneservices.com,,Drone application herbicides insecticides fungicides + 100-lb spreader; forestry ponds duck impoundments,Google,https://agdronedirectory.com/operators/conservation-drone-services-sc,existing
CropCare Drone Services of NY,,,NY,,,cropcareny.com,,Agricultural drone spraying cover crops field scans; FAA 107/137 NYSDEC Cat 1A & 11,Google,https://agdronedirectory.com/operators/cropcare-drone-ny,existing
CropTech Solutions,,,PA,,,croptech.us,,Sells/services drones + drone crop spraying/seeding/mapping; 32ft swath 50-500 micron,Google Maps PA,https://agdronedirectory.com/operators/croptech-solutions,existing
Custom Drone Solutions Inc,,,MN,,,flycds.com,,EAVision J100 pesticide application,operator site/MN,https://agdronedirectory.com/operators/custom-drone-solutions-inc,existing
Dakota Ag,,,SD,,,dakota.ag,,Crop spraying + drone trailer support products; Hylio AgroSol control,dakota.ag,https://agdronedirectory.com/operators/dakota-ag-solutions,existing
Drone Crop Services,,,AR,,,dronecropservices.com/arkansas,,Aerial custom pesticide application spreading drone mapping across Arkansas,Subagent,https://agdronedirectory.com/operators/drone-crop-services-remnant-technologies,existing
Dynamic Cropping Systems,,,MN,,,dcsyields.com,,Drone spraying fertilizer/pesticide/herbicide; certified pilots,Company site,https://agdronedirectory.com/operators/dynamic-cropping-systems,existing
Eagle Eye Agriculture LLC,,,OH,,,eagle-eye-agriculture.com,,Liquid + granular drone application (cover crop fungicide); Part 107/137 OH license,Google Maps OH,https://agdronedirectory.com/operators/eagle-eye-agriculture-llc,existing
Elevated Aerial Services LLC,,,WI,,,ea-services.us,,GPS-guided ag spraying (pesticides/herbicides/fertilizers) + multispectral imaging,Company site,https://agdronedirectory.com/operators/elevated-aerial-services-llc,new
Elevated Ag Solutions,,,MN,,,elevatedagsolutions.com,,Precision drone seeding & spraying; MN/IA/WI/ND/SD/NE,Company site,https://agdronedirectory.com/operators/elevated-ag-solutions,existing
FloridaDroneSpraying,,,FL,,,floridadronespraying.com,,Drone-based precision ag spraying Central Florida; founded 2024,Google,https://agdronedirectory.com/operators/floridadronespraying,new
Flying Bison Agricultural Drones,,,CO,,,flyingbisonagdrones.com,,Precision ag drone spraying; Colorado + neighboring regions,Google Maps CO,https://agdronedirectory.com/operators/flying-bison-agricultural-drones,new
Flying Farmer LLC,,,NC,,,flyingfarmernc.com,,Farmer-owned Eastern NC ag drone co; verify active spray service,Subagent,https://agdronedirectory.com/operators/flying-farmer-llc,new
Frontier Cooperative (Precision Ag drone),,,NE,,,frontiercooperative.com,,Co-op drone spraying; $400 min; $16.50/ac row crop $20/ac pasture,frontiercooperative.com,https://agdronedirectory.com/operators/frontier-cooperative,existing
Green Again Drone Spraying,,,KS,,,greenagaindronespraying.com,,Custom aerial application and crop treatments for Kansas farmers,Google Maps KS,https://agdronedirectory.com/operators/green-again-drone-spraying,existing
Heartland Drone Services LLC,,,KS,,,heartlanddroneks.com,,Aerial spraying aquatic habitat restoration pasture/rangeland mgmt,heartlanddroneks.com,https://agdronedirectory.com/operators/heartland-drone-services,existing
Heritage Drone Service,,,IN,,,heritagedroneservice.com,,Drone spraying aerial seeding consulting; Apex dealer; N Indiana + nationwide,Google Maps IN,https://agdronedirectory.com/operators/heritage-drone-service,existing
KADS.Tech (Kansas Agricultural Drone Services LLC),,,KS,,,kads.tech,,Ag spray drone service; precise pesticide/fertilizer application + data,Company site,https://agdronedirectory.com/operators/kansas-agricultural-drone-services-kads,existing
MachShots LLC,Seth & Jeff,Colquitt,GA,,,,Manta listing,Drone aerial application corn cotton peanuts wheat; SW GA counties,Manta.com,https://agdronedirectory.com/operators/machshots-llc,new
Mahler Enterprises LLC,,,TX,,,mahlerenterprisesllc.com/drone-spraying-texas,,Drone crop spraying vegetation mgmt invasive species aquatic; TDA licensed,Google,https://agdronedirectory.com/operators/mahler-enterprises,existing
Midwest Air,,,OH,,,midwestairdrones.com,,Crum Farm Supply division; custom fungicide spraying + cover crop spreading; DJI Agras reseller,Google Maps OH,https://agdronedirectory.com/operators/midwest-air-llc,existing
Midwest Drone Applications,,,KS,,,midwestdroneapps.com,,Drone spraying & seeding; DJI Agras T50/T100 Talos T60X; KS OK NE IA,Web,https://agdronedirectory.com/operators/midwest-drone-applications,existing
Minnesota Drone Spray,,,MN,,,minnesotadronespray.com,,Ag drone spraying of herbicides/fungicides/pesticides/fertilizer,minnesotadronespray.com,https://agdronedirectory.com/operators/minnesota-drone-spray,existing
Nexus Aerial Ag,,,IA,,,nexusaerialag.com,,Ag drone solutions serving IA/IL/MO,Google Maps IA,https://agdronedirectory.com/operators/nexus-aerial-ag,existing
North Carolina Ag Drones,,,NC,,,northcarolinaagdrones.com,,Ag drone sales + application services,Google Maps NC,https://agdronedirectory.com/operators/north-carolina-ag-drones,existing
Northern Drone Solutions,,,ND,,,northerndronesolutions.com,,Wet spray dry spread aerial seeding fungicide/herbicide; DJI Agras T50,Google Maps ND,https://agdronedirectory.com/operators/northern-drone-solutions,new
Outer Limits Drone Service,,,MT,,,outerlimitsdroneservice.com,,SW Montana drone crop spraying + construction surveying,Google Maps MT,https://agdronedirectory.com/operators/outer-limits-drone-service,existing
Pacific Ag Drones,,,CA,,,pacificagdrones.com,,FAA-certified drone spraying/seeding for vineyards orchards crops (organic & conventional),Google Maps CA | Web,https://agdronedirectory.com/operators/pacific-ag-drones,existing
Penguin Drones,,,WI,,,penguindrones.com,,Drone spraying & aerial seeding ag/forestry/aquatic/turf; S central WI (Dane Co.),Company site,https://agdronedirectory.com/operators/penguin-drones,new
Precision Agricultural Services (PASUAV),,,FL,,,pasuav.com,,Drone crop spraying for citrus turf strawberry nurseries; FAA-certified pilots,Google,https://agdronedirectory.com/operators/precision-agricultural-services-fl,existing
Precision Agridrone Solutions,,,IL,,,precisionagridrone.com,,Central IL family operator; crop spraying liquid/granular; FAA 107/137,Web | precisionagridrone.com,https://agdronedirectory.com/operators/precision-agridrone-solutions,existing
Precision AgSpray,,,MS,,,precision-agspray.com,,Drone spraying seeding scouting game recovery; North Mississippi,Google Maps MS,https://agdronedirectory.com/operators/precision-agspray,new
Rocoza Ag,,,IA,,,rocoza.com,,Ag spray drone services + sales; row crop fungicide at tassel,Google Maps IA,https://agdronedirectory.com/operators/rocoza-ag,existing
Soil Service Inc,,,MO,,,soilserviceinc.com,,Spray drone application across IA/IL/MO; owns drones & pilots; 2 gal/acre min,Company site,https://agdronedirectory.com/operators/soil-service-inc,existing
Southeast MN Spray Drones,,,MN,,,southeastmnspraydrones.com,,Agricultural spray drones in southeast Minnesota,web search,https://agdronedirectory.com/operators/southeast-mn-spray-drones,new
